Post Index,followers,upload time,Like Count,Comment Count,is Photo,is Video,hashtag,Pic Description,days_diff,have_error,is_empty
358,344000,2024-11-13 10:57:44,122000,397,0,1,no hashtage,,11.0,False,True
359,20000,2024-10-12 13:05:12,48000,74,0,1,"Reelindia ,sololife ,sadlife ,brokenheartquotes ,myhappymoments ,sadstatus ,Sadlove ,fakesmile ,fakelove ,fakechat ,newpost ,reelsinstagram ,viralreels ,viralinstagram ,newreels ,newarrivals ,viralvideos ,me'",,43.0,True,False
360,2127,2024-10-04 03:54:08,23000,396,0,1,"popmart ,popmartglobal ,labubumacaron ,Labubuhaveaseat ,Mother ,popmartlabubu ,labubupopmart ,Labubu perspective ,popmartcollection ,popmartphotographer ,blindbox ,blindboxtoys ,Artta ,toyphotography ,toycollector",,51.0,True,False
361,12000,2024-09-26 10:56:56,105000,376,0,1,"fyp ,quotes ,sadquotespage ,dailyquotes ,quoteoftheday ,trending ,beef ,instagram ,instagood ,instalike ,reels ,reelsfeed ,support ,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp '",,59.0,True,False
362,135000,2024-11-13 08:16:57,2573,8,1,0,"Disney ,Quotation ,joke ,Spoof ,Funny quotation ,memes ,disneymemes ,Disney Stalk Figure '",懶猴和文字的圖像.,11.0,True,False
363,11000,2024-11-14 11:01:49,205000,997,0,1,no hashtage,,10.0,False,True
364,342000,2024-10-27 06:51:14,54000,232,0,1,no hashtage,,28.0,False,True
365,52000,2024-09-29 08:15:46,6404,35,0,1,no hashtage,,56.0,False,True
366,28000,2024-10-22 12:29:54,6762,141,0,1,"radhekrishna ,lovesongs",,33.0,True,False
367,75000,2024-10-18 04:16:58,95000,388,0,1,"Btsarms ,kimtaehyung ,hobby",,37.0,True,False
368,586000,2024-11-06 06:03:44,16000,287,0,1,no hashtage,,18.0,True,True
369,214000,2024-10-23 08:06:31,101000,200,1,0,no hashtage,2 個人和文字的圖像.,32.0,True,True
370,240000,2024-11-02 11:30:24,6454,52,1,0,no hashtage,1 人、運動服裝、胸罩和文字的圖像.,22.0,True,True
371,278000,2024-10-26 04:00:00,62000,508,0,1,no hashtage,,29.0,True,True
372,8147000,2024-10-19 21:44:35,675000,987,0,1,no hashtage,,36.0,True,True
373,12000,2024-09-15 01:30:50,75000,417,0,1,no hashtage,,70.0,True,True
374,246000,2024-11-13 15:28:19,43000,213,1,0,no hashtage,1 人、打棒球、體育場和文字的圖像.,11.0,False,True
375,7015,2024-09-15 11:20:05,79000,430,0,1,no hashtage,,70.0,False,True
376,93000,2024-11-02 16:25:59,129000,107,0,1,no hashtage,,22.0,True,True
377,344000,2024-11-13 10:57:44,122000,397,0,1,no hashtage,,11.0,False,True
378,20000,2024-10-12 13:05:12,48000,74,0,1,no hashtage,,43.0,True,True
379,2127,2024-10-04 03:54:08,23000,396,0,1,toyphotography,,51.0,True,False
380,12000,2024-09-26 10:56:56,105000,376,0,1,"fyp ,FYP ,quotes ,sadquotespage ,dailyquotes ,quoteoftheday ,trending ,beef ,instagram ,instagood ,reels ,reelsfeed ,support ,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp '",,59.0,True,False
381,135000,2024-11-13 08:16:57,2573,8,1,0,"Cause ,Quotation ,Funny quotation ,memes ,Disneymemes ,Disney Stalk Figure '",懶猴和文字的圖像.,11.0,True,False
382,11000,2024-11-14 11:01:49,205000,997,0,1,no hashtage,,10.0,False,True
383,342000,2024-10-27 06:51:14,54000,232,0,1,no hashtage,,28.0,False,True
384,52000,2024-09-29 08:15:46,6404,35,0,1,no hashtage,,56.0,False,True
385,28000,2024-10-22 12:29:54,6762,141,0,1,"row ,krishna ,love ,prem ,lovesongs ,Involved '",,33.0,True,False
386,75000,2024-10-18 04:16:58,95000,388,0,1,"Btsarms ,Kimtehiaung ,rm ,jin ,jimin ,hobby ,jhope ,suga ,taehyung ,jungkook ,army ,v ,Jeonjungkook ,Seokjin ,namjoon ,picture'",,37.0,False,False
387,586000,2024-11-06 06:03:44,16000,287,0,1,"viralreels ,instagood '",,18.0,False,False
388,214000,2024-10-23 08:06:31,101000,200,1,0,"fyp ,maternity ,photoshoot ,soccer'",2 個人和文字的圖像.,32.0,False,False
389,240000,2024-11-02 11:30:24,6454,52,1,0,"Snowbody ,Inbody ,Inbody measurement ,Inbody dial ,bodycheck ,Inbody results ,beforeandafter'",1 人、運動服裝、胸罩和文字的圖像.,22.0,True,False
390,278000,2024-10-26 04:00:00,62000,508,0,1,"couple ,gentlemen ,girl ,mood ,Stablize'",,29.0,True,False
391,8147000,2024-10-19 21:44:35,675000,987,0,1,"DanceKarnatakaDance2024 ,Skin 024 ,SongRecreationround ,Sea drug ,Zeinadian ,They Are A Deardictive """,,36.0,False,False
392,12000,2024-09-15 01:30:50,75000,417,0,1,"tipsanakhat ,Parenting tips for children ,children toys ,Videoanaclucu '",,70.0,False,False
393,246000,2024-11-13 15:28:19,43000,213,1,0,no hashtage,1 人、打棒球、體育場和文字的圖像.,11.0,False,True
394,7016,2024-09-15 11:20:05,79000,430,0,1,no hashtage,,70.0,False,True
395,93000,2024-11-02 16:25:59,129000,107,0,1,"innisfree ,claymask ,koreanskincare ,poremask ,porecare ,oilcontrol ,skincareroutine ,sephorasale'",,22.0,True,False
396,344000,2024-11-13 10:57:44,122000,397,0,1,no hashtage,,11.0,False,True
397,20000,2024-10-12 13:05:12,48000,74,0,1,"reelindia ,sololife ,sadlife ,brokenlife ,brokenheartquotes ,myhappymoments ,sadstatus ,Sadlove ,fakesmile ,fakelove ,fakechat ,newpost ,reelsinstagram ,viralreels ,viralinstagram ,newreels ,newarrivals ,viralvideos",,43.0,True,False
398,2127,2024-10-04 03:54:08,23000,396,0,1,"popmartglobal ,labubumacaron ,Labubuhaveaseat ,Mother ,popmartlabubu ,labubupopmart ,Labubu perspective ,popmartcollection ,popmartphotographer ,blindbox ,blindboxtoys ,Artta ,toyphotography ,toycollector ,toyphoto'",,51.0,True,False
399,12000,2024-09-26 10:56:56,105000,376,0,1,"fyp ,FYP ,quotes ,sadquotespage ,dailyquotes ,quoteoftheday ,trending ,goviral ,instagram ,instagood ,instalike ,reels ,reelsfeed ,support ,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp '",,59.0,False,False
400,135000,2024-11-13 08:16:57,2573,8,1,0,"Disney ,Cause ,joke ,Spoof ,memes ,Disneymemes ,Disney Stalk Figure '",懶猴和文字的圖像.,11.0,True,False
401,11000,2024-11-14 11:01:49,205000,997,0,1,no hashtage,,10.0,False,True
402,342000,2024-10-27 06:51:14,54000,232,0,1,no hashtage,,28.0,False,True
403,52000,2024-09-29 08:15:46,6404,35,0,1,no hashtage,,56.0,False,True
404,28000,2024-10-22 12:29:54,6762,141,0,1,"Radhekrishna ,radhe ,krishna ,love ,prem ,lovesongs ,diwali",,33.0,True,False
405,75000,2024-10-18 04:16:58,95000,388,0,1,"Btsarms ,Kimtehiaung ,rm ,jin ,jimin ,hobby ,jhope ,suga ,taehyung ,jungkook ,army ,v ,Jeonjungkook ,Seokjin ,namjoon ,picture'",,37.0,False,False
406,586000,2024-11-06 06:03:44,16000,287,0,1,viralreels,,18.0,True,False
407,214000,2024-10-23 08:06:31,101000,200,1,0,"fyp ,maternity ,photoshoot ,soccer'",2 個人和文字的圖像.,32.0,False,False
408,240000,2024-11-02 11:30:24,6454,52,1,0,"Snowbody ,Inbody ,Inbody dial ,bodycheck ,Inbody results ,beforeandafter'",1 人、運動服裝、胸罩和文字的圖像.,22.0,True,False
409,278000,2024-10-26 04:00:00,62000,508,0,1,"gentlemen ,girl ,mood ,Stablize'",,29.0,True,False
410,8147000,2024-10-19 21:44:35,675000,987,0,1,"DanceKarnatakaDance2024 ,Skin 024 ,SongRecreationround ,Sea drug ,Zeinadian",,36.0,True,False
411,12000,2024-09-15 01:30:50,75000,417,0,1,"Parenting tips for children ,children toys ,Videoanaclucu '",,70.0,True,False
412,246000,2024-11-13 15:28:19,43000,213,1,0,no hashtage,1 人、打棒球、體育場和文字的圖像.,11.0,False,True
413,7016,2024-09-15 11:20:05,79000,430,0,1,no hashtage,,70.0,False,True
414,93000,2024-11-02 16:25:59,129000,107,0,1,"innisfree ,pores ,claymask ,koreanskincare ,poremask ,porecare ,skincareroutine ,sephorasale'",,22.0,True,False
415,344000,2024-11-13 10:57:44,122000,397,0,1,no hashtage,,11.0,False,True
416,20000,2024-10-12 13:05:12,48000,74,0,1,"Reelindia ,sololife ,sadlife ,brokenlife ,brokenheartquotes ,myhappymoments ,sadstatus ,fakesmile ,fakelove ,fakechat ,newpost ,reelsinstagram ,viralreels ,viralinstagram ,newreels ,newarrivals ,viralvideos ,me'",,43.0,True,False
417,2127,2024-10-04 03:54:08,23000,396,0,1,"popmart ,popmartglobal ,labubumacaron ,labubuhaveaseat ,Mother ,popmartlabubu ,labubupopmart ,Labubu perspective ,popmartcollection ,popmartphotographer ,blindbox ,blindboxtoys ,Artta ,toyphotography ,toycollector",,51.0,True,False
418,12000,2024-09-26 10:56:56,105000,376,0,1,"fyp ,FYP ,quotes ,sadquotespage ,dailyquotes ,quoteoftheday ,trending ,goviral ,instagram ,instagood ,instalike ,reels ,reelsfeed ,support ,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp '",,59.0,False,False
419,135000,2024-11-13 08:16:57,2573,8,1,0,"memes ,Disneymemes",懶猴和文字的圖像.,11.0,True,False
420,11000,2024-11-14 11:01:49,205000,997,0,1,no hashtage,,10.0,False,True
421,342000,2024-10-27 06:51:14,54000,232,0,1,no hashtage,,28.0,False,True
422,52000,2024-09-29 08:15:46,6404,35,0,1,no hashtage,,56.0,False,True
423,28000,2024-10-22 12:29:54,6762,141,0,1,"row ,krishna ,love ,prem ,lovesongs ,diwali",,33.0,True,False
424,75000,2024-10-18 04:16:58,95000,388,0,1,"Btsarms ,Kimtehiaung ,rm ,jin ,jimin ,jhope ,taehyung ,army ,Jeonjungkook ,Seokjin",,37.0,True,False
425,586000,2024-11-06 06:03:44,16000,287,0,1,viralreels,,18.0,True,False
426,214000,2024-10-23 08:06:31,101000,200,1,0,maternity,2 個人和文字的圖像.,32.0,True,False
427,240000,2024-11-02 11:30:24,6454,52,1,0,"Body check ,Inbody",1 人、運動服裝、胸罩和文字的圖像.,22.0,True,False
428,278000,2024-10-26 04:00:00,62000,508,0,1,gentlemen,,29.0,True,False
429,8147000,2024-10-19 21:44:35,675000,987,0,1,no hashtage,,36.0,True,True
430,12000,2024-09-15 01:30:50,75000,417,0,1,no hashtage,,70.0,True,True
431,246000,2024-11-13 15:28:19,43000,213,1,0,no hashtage,1 人、打棒球、體育場和文字的圖像.,11.0,False,True
432,7017,2024-09-15 11:20:05,79000,430,0,1,no hashtage,,70.0,False,True
433,93000,2024-11-02 16:25:59,129000,107,0,1,no hashtage,,22.0,True,True
434,344000,2024-11-13 10:57:44,122000,397,0,1,no hashtage,,11.0,False,True
435,20000,2024-10-12 13:05:12,48000,74,0,1,no hashtage,,43.0,True,True
436,2127,2024-10-04 03:54:08,23000,396,0,1,no hashtage,,51.0,True,True
437,12000,2024-09-26 10:56:56,105000,376,0,1,"fyp ,quotes ,instagram ,instagood ,reelsfeed ,support ,fypppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp '",,59.0,True,False
438,135000,2024-11-13 08:16:57,2573,8,1,0,"Quotation ,joke ,Disneymemes",懶猴和文字的圖像.,11.0,True,False
439,11000,2024-11-14 11:01:49,205000,997,0,1,no hashtage,,10.0,False,True
440,342000,2024-10-27 06:51:14,54000,232,0,1,no hashtage,,28.0,False,True
441,52000,2024-09-29 08:15:46,6404,35,0,1,no hashtage,,56.0,False,True
442,28000,2024-10-22 12:29:54,6762,141,0,1,"Radhekrishna ,row ,krishna ,love ,prem ,lovesongs ,Involved '",,33.0,True,False
443,75000,2024-10-18 04:16:58,95000,388,0,1,"Btsarms ,Kimtehiaung ,rm ,jimin ,hobi ,jhope ,suga ,taehyung ,jungkook ,army ,v ,Jeonjungkook ,seokjin ,namjoon ,picture'",,37.0,True,False
444,586000,2024-11-06 06:03:44,16000,287,0,1,viralreels,,18.0,True,False
445,214000,2024-10-23 08:06:31,101000,200,1,0,"fyp ,maternity ,photoshoot",2 個人和文字的圖像.,32.0,True,False
446,240000,2024-11-02 11:30:24,6454,52,1,0,"Snowbody ,Body check ,Inbody ,Inbody measurement ,Inbody dial ,bodycheck ,Inbody results",1 人、運動服裝、胸罩和文字的圖像.,22.0,True,False
447,278000,2024-10-26 04:00:00,62000,508,0,1,"couple ,gentlemen ,quarrel ,mood ,Stablize'",,29.0,True,False
448,8147000,2024-10-19 21:44:35,675000,987,0,1,"DanceKarnatakaDance2024 ,Skin 024 ,SongRecreationround ,Sea drug ,Zeinadian ,They Are A Deardictive """,,36.0,False,False
449,12000,2024-09-15 01:30:50,75000,417,0,1,"tipsanakhat ,Parenting tips for children ,children toys ,Videoanaclucu '",,70.0,False,False
450,246000,2024-11-13 15:28:19,43000,213,1,0,no hashtage,1 人、打棒球、體育場和文字的圖像.,11.0,False,True
451,7018,2024-09-15 11:20:05,79000,430,0,1,no hashtage,,70.0,False,True
452,93000,2024-11-02 16:25:59,129000,107,0,1,"innisfree ,pores ,koreanskincare ,poremask ,porecare ,oilcontrol ,skincareroutine ,sephorasale'",,22.0,True,False
453,344000,2024-11-13 10:57:44,122000,397,0,1,no hashtage,,11.0,False,True
454,20000,2024-10-12 13:05:12,48000,74,0,1,"Reelindia ,sololife ,sadlife ,brokenlife ,brokenheartquotes ,myhappymoments ,sadstatus ,Sadlove ,fakesmile ,fakelove ,fakechat ,newpost ,reelsinstagram ,viralreels ,viralinstagram ,newreels ,newarrivals ,viralvideos ,me'",,43.0,False,False
0,182000,2024-11-11 15:07:03,2163000,406,0,1,no hashtage,,13.0,False,True
1,179000,2024-11-13 00:00:00,7912,58,1,0,"Just together ,The top 12 of the baseball world ,Just together ,Big dome ,Chinese team ,Rina ,Supporting group leader ,2024'",1 人、毛髮、舞台服裝、上衣、迷你裙、短褲和文字的圖像.,12.0,False,False
2,531000,2024-10-30 11:47:40,47000,185,0,1,"turtle ,Turtle Fairy Frozen ,Homemade dessert ,Self -made snack ,Xiancao frozen '",,25.0,False,False
3,2127,2024-10-04 03:54:08,23000,234,0,1,"popmart ,popmartglobal ,labubumacaron ,Labubuhaveaseat ,Mother ,popmartlabubu ,labubupopmart ,Labubu perspective ,popmartcollection ,popmartphotographer ,blindbox ,blindboxtoys ,Artta ,toyphotography ,toycollector ,toyphoto'",,51.0,False,False
4,12000,2024-10-11 02:30:00,8718,12,0,1,"Eyebrow repair ,Eyebrow repair ,Eyebrow trimmer ,Eyebrow repair teaching ,The importance of eyebrow trimming ,Eyebrow trimming ,Eyebrows'",,44.0,False,False
5,339000,2024-11-03 13:01:24,13000,120,0,1,no hashtage,,21.0,False,True
6,202000,2024-11-14 15:16:15,413,25,1,0,no hashtage,1 人、毛髮和文字的圖像.,10.0,False,True
7,4880,2024-11-04 10:14:46,6400,16,1,0,"Korean black ,Blue black ,Hair quality improvement ,Hair quality improvement treatment ,No bleach ,Bleach -free color ,Job hunting color ,Practice color ,Warm color ,Navy blue ,Pink color ,Navy color ,Korean hair ,Double color ,Korean color ,Black hair ,Lavender Greige ,Lavender color ,No bleach",1 人、毛髮和文字的圖像.,20.0,True,False
8,63000,2024-09-16 08:01:01,10000,55,0,1,no hashtage,,69.0,False,True
9,52000,2024-09-29 08:15:46,6415,35,0,1,no hashtage,,56.0,False,True
10,169000,2024-10-06 17:11:35,210000,0,0,1,"govinda ,Rashmikamandana '",,49.0,False,False
11,14000,2024-10-24 07:06:12,2,86,0,1,"puppy ,Wang Xingren's daily life ,Wang ,memes'",,31.0,True,False
12,75000,2024-10-18 04:16:58,95000,207,0,1,"Btsarms ,kimtaehyung ,jin ,hobby ,jhope ,suga ,taehyung ,army ,v ,jeonjungkook ,Seokjin ,namjoon ,picture'",,37.0,True,False
13,55000,2024-09-30 05:03:29,69000,281,0,1,no hashtage,,55.0,False,True
14,55000,2024-11-12 12:04:17,14000,294,0,1,"perfume ,Perfume recommendation ,Boys perfume",,12.0,True,False
15,1966000,2024-11-09 15:44:10,93000,630,0,1,no hashtage,,15.0,False,True
16,214000,2024-10-23 08:06:31,101000,258,1,0,"fyp ,maternity ,photoshoot ,soccer'",2 個人和文字的圖像.,32.0,False,False
17,240000,2024-11-02 11:30:24,6558,53,1,0,"Inbody measurement ,Inbody dial ,Inbody results ,beforeandafter'",1 人、運動服裝、胸罩和文字的圖像.,22.0,True,False
18,278000,2024-10-26 04:00:00,62000,401,0,1,"couple ,girl ,quarrel",,29.0,True,False
19,246000,2024-11-13 15:28:19,44000,213,1,0,no hashtage,1 人、打棒球、體育場和文字的圖像.,11.0,False,True
20,102000,2024-11-13 22:59:53,807000,382,0,1,"pushkarfair2024 ,viralvideo ,pushkarmela2024 ,Buffalo ,bulls ,viral'",,11.0,False,False
21,135000,2024-11-12 11:19:47,3925,31,0,1,"Shu concubine ,Shu Fei Youyou Meilu Cream ,Hair Essence Repair Star ,Natural Huijin scalp purification and exfoliation ,Natural Huijin Rabon '",,12.0,True,False
22,11000,2024-11-06 05:53:00,13000,22,0,1,"tutorialmakeup ,tutorialdouyinmakeup ,tutorialmakeupnatural ,makeup artist ,makeuphacks ,makeuptransformation ,douyinmakeup ,douyinmakeuplook ,douyinmakeuptutorial'",,18.0,False,False
23,641000,2024-10-19 03:12:21,47000,178,0,1,"Happy ,diwali ,drawing ,art ,easydrawing ,girldrawing ,viral ,trending ,sketch ,explore ,instalike ,FBREELSFYP",,36.0,False,False
24,283000,2024-11-04 13:49:17,57000,135,0,1,"lipbalm ,lipgloss ,skincare ,skincareblogger ,skincareluxury ,lipmask ,Lipoil ,makeup",,20.0,True,False
25,8147000,2024-10-19 21:44:35,676000,189,0,1,"DanceKarnatakaDance2024 ,DKD2024 ,SongRecreationround ,Sea drug ,Zeinadian ,They Are A Deardictive """,,36.0,False,False
26,74000,2024-11-09 12:33:36,5663,23,1,0,dafshoes',1 人、長大衣、牛角扣大衣、雨衣、連帽風衣、靴子、夾克和戶外的圖像.,15.0,False,False
27,16000,2024-11-03 14:40:15,18000,218,0,1,"jesus ,jesuschrist ,Jesus ,jesuslovesyou ,JESUSSAVES ,god ,godisgood ,godfirst ,godbless ,Godbless ,reelsinstagram ,instagram'",,21.0,False,False
28,721000,2024-11-13 09:36:28,10000,42,0,1,"Brothers and sisters everyday ,Di Mei messy ,Kitchen renovation '",,11.0,True,False
29,52000,2024-11-13 14:54:29,2,43,0,1,no hashtage,,11.0,False,True
30,504000,2024-11-06 17:25:44,5983000,348,0,1,"cliffjumping ,cliff ,jump ,quarry ,OBJECTS ,adrenaline ,thinkbold ,underground ,cliffdiving'",,18.0,False,False
31,28000,2024-10-22 12:29:54,18,141,0,1,"Radhekrishna ,row ,krishna ,love ,prem ,lovesongs ,diwali ,Involved '",,33.0,False,False
32,28000,2024-11-09 04:00:16,754,0,1,0,no hashtage,玩具、懶人椅和文字的圖像.,15.0,False,True
33,51000,2024-11-10 14:20:30,4095,55,0,1,no hashtage,,14.0,False,True
34,25000,2024-11-11 10:59:01,2,27,0,1,"oodbycheckin ,Taipei ,FirstNoteOfLove1stFMinTPE ,FNOLPerfectFinale ,Play a perfect love ,FirstNoteofLove ,No ,Your love song is sung by me ,Tuoshan ,Zhang Fenghao ,Liu Yiting ,Jamkkasama ,Jin Taiyou ,Li Jiahuan ,Li Yinghong ,Amanda ,Liu Jifan ,Practice macro ,Warner Music ,BL ,boyslove ,GagaOOLala ,GagaOOLalaOriginal ,Port ,Jeede Maltein '",,13.0,False,False
0,2232000,2024-09-13 09:27:36,444000,126,0,1,no hashtage,,72.0,False,True
1,50000,2024-10-28 10:04:59,17000,107,1,0,no hashtage,舞台服裝和文字的圖像.,27.0,False,True
2,14000,2024-10-21 11:09:49,10,0,1,0,"livetws ,New Year's Concert ,Ticketing information ,Grabbing a lazy bag ,Concert ,Card ,Festival ,Activity information ,Tainan event ,Tainan Concert ,Tainan Food ,South Textile Shopping Center ,Starry Music Festival '",3 個人、海報、音樂會和文字的圖像.,34.0,True,False
3,14000,2024-09-27 09:05:32,13000,163,0,1,no hashtage,,58.0,False,True
4,343000,2024-11-16 05:19:38,7124,65,0,1,no hashtage,,8.0,False,True
5,1738000,2024-10-04 00:33:20,1000000,1072,0,1,no hashtage,,51.0,False,True
6,12000,2024-10-11 02:30:00,8781,13,0,1,"Eyebrow repair ,Eyebrow repair ,Eyebrow trimmer ,Eyebrow repair teaching ,The importance of eyebrow trimming ,Eyebrow trimming ,Eyebrows'",,44.0,False,False
7,174000,2024-10-11 03:30:00,28000,248,0,1,no hashtage,,44.0,False,True
8,14000,2024-10-24 07:06:12,2,89,0,1,"dog ,puppy ,dog ,Dog ,Daily ,Wang Xingren's daily life ,Wang ,Cause ,Stalk ,Oblinter stalk ,Mag ,memes'",,31.0,True,False
9,199,2024-11-15 18:51:07,28,0,0,1,"full moon ,stones ,moonlightlovers ,moonlight'",,9.0,False,False
10,91000,2024-10-28 04:30:37,60000,267,0,1,"Koimbatorevagaira ,coimbatorememes ,coimbatorefoodie ,coimbatorenews ,coimbatore ,cbe ,Tirupur ,tirupurfoodies ,tup ,Foodie ,rspuram ,Gandhipuram ,Navinadia ,Pronunciation ,srcas ,Sriramakrishnacollege ,prozonemall ,chennai ,friendshipgoals ,crush ,psgcas ,HICAS ,krishnammalcollege ,psg ,KPRCAS ,grdcs ,the same ,kpriet'",,27.0,True,False
11,28000,2024-11-15 09:39:37,10000,41,0,1,no hashtage,,9.0,False,True
12,264000,2024-10-14 15:13:35,66000,175,0,1,no hashtage,,41.0,False,True
13,33000,2024-10-15 11:00:30,10000,62,0,1,"New article ,Buy at the minimum ,cocoa ,Tingle ,dessert ,mochi ,New North Food ,Tainan Food ,Hsinchu Food ,Taichung Food ,Hualien Food ,Keelung Food ,Chiayi Food ,Taoyuan Food ,Miaoli Food ,Yunlin Food ,Changhua Food ,Yilan Food ,Kaohsiung Food ,Pingtung Food ,Supermarket food ,Supermarket ,New product ,New product listing '",,40.0,True,False
14,253000,2024-11-14 15:08:14,13000,12,1,0,"Hell ,A Buddha ,Wilfredwan ,Healing ,Liang Yongting ,Burn the city ,DO ,JacksonWang ,Wang Jiaer",5 個人和文字的圖像.,10.0,True,False
15,2232000,2024-10-26 04:47:51,120000,277,0,1,no hashtage,,29.0,False,True
16,34000,2024-11-14 10:06:14,5464,3,1,0,"APT ,MAMA ,Mamaawards ,BrunoMars ,Blackpink ,GDragon ,Quan Zhilong ,KPOP ,TM hot words ,TM character ,Tastmarker '",1 人、雜誌、海報和文字的圖像.,10.0,True,False
17,7080,2024-09-15 11:20:05,80000,162,0,1,no hashtage,,70.0,False,True
18,192000,2024-11-13 12:00:16,1806,25,1,0,no hashtage,文字的圖像.,11.0,False,True
19,343000,2024-10-27 06:51:14,54000,234,0,1,no hashtage,,28.0,False,True
20,12190000,2024-10-28 14:23:45,147000,272,0,1,no hashtage,,27.0,False,True
21,31000,2024-09-28 07:06:14,25000,311,0,1,"Follow Tim all over Taiwan's food attractions ,taiwanfood ,Taiwan food ,Preferential activity ,Xiaoqi ,711 ,Instant mood ,Black vinegar chestnut mint flavor '",,57.0,True,False
22,455000,2024-10-24 12:50:12,532000,452,0,1,no hashtage,,31.0,False,True
23,12190000,2024-09-28 05:34:27,514000,355,0,1,no hashtage,,57.0,True,True
24,21000,2024-11-15 11:22:23,1712,28,0,1,no hashtage,,9.0,True,True
25,32000,2024-11-07 11:57:46,2074,30,1,0,"Push ,Stubborn ,Mag ,Swan treatment ,Swan treatment ,Oblinter stalk ,Confusion business ,因 因 ,funny ,interesting ,Laughed ,Hell infarction '",文字的圖像.,17.0,True,False
26,27000,2024-09-25 09:30:00,36000,22,0,1,no hashtage,,60.0,False,True
27,64000,2024-11-13 04:43:47,1811,16,1,0,"Cause ,Stalk ,Oblinter stalk ,Fan Yinxin Figure '",文字的圖像.,11.0,False,False
28,932000,2024-11-04 03:38:39,,279,0,1,no hashtage,,20.0,False,True
29,323,2024-10-18 11:39:09,90,0,1,0,"Ideal bastard ,Azhe ,Guitarist Azhe ,The 7th Anniversary Bastard ,Dog sacrifice",1 人、吉他、麥克風、音樂會和文字的圖像.,37.0,True,False
30,219000,2024-11-15 15:47:42,295,5,1,0,"vanlifebuilds ,vanlife ,outboundliving ,vanconversion ,tinyhome ,vanclan ,camper ,vanlifeideas ,builtnotbought ,livingvanlife ,sprintervan ,sprintercamper ,vanlifemagazine ,vanlifevirals ,packthevan ,projectvanlife ,tinyhome ,carpentry ,woodwork ,water design ,smallspaces ,vwcrafter ,vanliferules'",,9.0,True,False
31,45000,2024-11-11 07:14:21,3302,48,0,1,"crystal ,Double 11 ,1111'",,13.0,False,False
32,6302,2024-10-24 10:33:49,213,16,1,0,no hashtage,足鍊的圖像.,31.0,False,True
33,215000,2024-11-08 05:10:08,288000,325,0,1,"trendingsongs ,Sidsriamn ,Telugusongslyrics ,telugulovestatus ,lovefail ,lovefailiure ,Telugudubsmash ,telugucomedy ,telugujokes ,telugumovie ,telugu bgm ,TeluguMemes ,Telugu Cinema ,telugulovesongs ,telugusongslyrics'",,16.0,False,False
34,197000,2024-11-10 11:04:11,4,202,0,1,no hashtage,,14.0,False,True
35,74000,2024-11-03 13:59:47,2176,15,1,0,no hashtage,2 個人、毛髮、高領上衣和文字的圖像.,21.0,False,True
36,468000,2024-10-17 09:06:28,43000,160,1,0,no hashtage,2 個人、報紙和文字的圖像.,38.0,False,True
37,7288,2024-10-31 01:52:19,23000,126,0,1,"love ,disappointment ,Emotional resonance ,emotion ,emotion ,love ,like ,Fall in love ,separate ,give up ,Secret love ,Like to be alone ,remember ,Quotation ,Love psychology ,love ,Quotation sharing ,Emotional quotation ,sad ,express ,Love instead of '",,24.0,True,False
38,1402000,2024-11-10 16:58:25,18000,282,0,1,"sea ,powerofsea ,fishing ,fish'",,14.0,False,False
39,343000,2024-11-10 09:02:34,37000,216,0,1,no hashtage,,14.0,False,True
40,14000,2024-11-15 11:00:10,139,1,1,0,"Ring ,Miniyang hot wax hair removal ,Taiwan hot wax first brand ,Hot wax hair removal ,Beeswax removal ,Home ,Taiwan's hot sales exceeded 200,000 groups ''",文字的圖像.,9.0,False,False
41,27000,2024-09-25 09:30:00,36000,22,0,1,no hashtage,,60.0,False,True
42,64000,2024-11-13 04:43:47,1811,16,1,0,"Cause ,Stalk ,Oblinter stalk ,Fan Yinxin Figure '",文字的圖像.,11.0,False,False
43,932000,2024-11-04 03:38:39,,534,0,1,no hashtage,,20.0,False,True
44,323,2024-10-18 11:39:09,90,0,1,0,"Ideal bastard ,Azhe ,Guitarist Azhe ,Guo Zhecheng ,The 7th Anniversary Bastard ,Dog sacrifice ,tenacious'",1 人、吉他、麥克風、音樂會和文字的圖像.,37.0,False,False
45,219000,2024-11-15 15:47:42,295,5,1,0,"vanlifebuilds ,vanlife ,outboundliving ,vanconversion ,tinyhome ,vanclan ,camperconversion ,rvlife ,camper ,vanlifeideas ,builtnotbought ,livingvanlife ,sprintervan ,Sprinter Camps ,vanlifemagazine ,vanlifevirals ,packthevan ,projectvanlife ,tinyhome ,carpentry ,woodwork ,water design ,smallspaces ,vwcrafter ,vanliferules'",,9.0,False,False
46,45000,2024-11-11 07:14:21,3302,48,0,1,"crystal ,Double 11 ,1111'",,13.0,False,False
47,6302,2024-10-24 10:33:49,213,16,1,0,no hashtage,足鍊的圖像.,31.0,False,True
